NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_SPECTRIN_BINDING	GO_SPECTRIN_BINDING	Details ...	24	0.49615446	1.4081243	0.07782101	1.0	0.997	3298	tags=25%, list=16%, signal=30%	
GO_K63_LINKED_POLYUBIQUITIN_BINDING	GO_K63_LINKED_POLYUBIQUITIN_BINDING	Details ...	15	0.6436102	1.4049982	0.05928854	1.0	0.997	4295	tags=60%, list=21%, signal=76%	
GO_THIOL_DEPENDENT_UBIQUITIN_SPECIFIC_PROTEASE_ACTIVITY	GO_THIOL_DEPENDENT_UBIQUITIN_SPECIFIC_PROTEASE_ACTIVITY	Details ...	70	0.5353322	1.4038281	0.043222003	1.0	0.997	3583	tags=46%, list=18%, signal=55%	
GO_RIBOSOME_BINDING	GO_RIBOSOME_BINDING	Details ...	40	0.5580393	1.400764	0.087286524	1.0	0.997	4227	tags=48%, list=21%, signal=60%	
GO_METHYLATED_HISTONE_BINDING	GO_METHYLATED_HISTONE_BINDING	Details ...	46	0.440343	1.3988899	0.06420233	1.0	0.997	3836	tags=39%, list=19%, signal=48%	
GO_LIGASE_ACTIVITY	GO_LIGASE_ACTIVITY	Details ...	374	0.45350218	1.397931	0.050980393	1.0	0.997	4522	tags=41%, list=22%, signal=52%	
GO_ATPASE_ACTIVITY	GO_ATPASE_ACTIVITY		402	0.5620854	1.3964553	0.012072435	1.0	0.997	4453	tags=47%, list=22%, signal=59%	
GO_ACID_THIOL_LIGASE_ACTIVITY	GO_ACID_THIOL_LIGASE_ACTIVITY		17	0.66837174	1.3961543	0.05202312	1.0	0.997	2173	tags=41%, list=11%, signal=46%	
GO_LIGASE_ACTIVITY_FORMING_CARBON_SULFUR_BONDS	GO_LIGASE_ACTIVITY_FORMING_CARBON_SULFUR_BONDS		37	0.53162456	1.3955145	0.06769826	1.0	0.997	2173	tags=32%, list=11%, signal=36%	
GO_ALKALI_METAL_ION_BINDING	GO_ALKALI_METAL_ION_BINDING		18	0.58184177	1.3942034	0.09193246	1.0	0.997	621	tags=22%, list=3%, signal=23%	
GO_PROTEIN_PHOSPHATASE_1_BINDING	GO_PROTEIN_PHOSPHATASE_1_BINDING		19	0.5641485	1.3910322	0.06930693	1.0	0.998	1544	tags=26%, list=8%, signal=28%	
GO_MAGNESIUM_ION_BINDING	GO_MAGNESIUM_ION_BINDING		184	0.4137344	1.3905101	0.021442495	1.0	0.998	5139	tags=41%, list=25%, signal=54%	
GO_TRANSLATION_INITIATION_FACTOR_ACTIVITY	GO_TRANSLATION_INITIATION_FACTOR_ACTIVITY		47	0.65234023	1.3894782	0.096339114	1.0	0.998	4325	tags=57%, list=21%, signal=73%	
GO_PHOSPHATASE_BINDING	GO_PHOSPHATASE_BINDING		155	0.3591449	1.3892767	0.021568628	1.0	0.998	3646	tags=29%, list=18%, signal=35%	
GO_HELICASE_ACTIVITY	GO_HELICASE_ACTIVITY		143	0.6687351	1.3868016	0.042471044	1.0	0.998	3727	tags=57%, list=18%, signal=69%	
GO_UBIQUITIN_LIKE_PROTEIN_BINDING	GO_UBIQUITIN_LIKE_PROTEIN_BINDING		113	0.47210205	1.385021	0.0671785	1.0	0.998	4105	tags=39%, list=20%, signal=49%	
GO_EXONUCLEASE_ACTIVITY	GO_EXONUCLEASE_ACTIVITY		72	0.5563622	1.3846073	0.05222437	1.0	0.998	4371	tags=50%, list=21%, signal=63%	
GO_RNA_POLYMERASE_BINDING	GO_RNA_POLYMERASE_BINDING		31	0.5543544	1.378231	0.10526316	1.0	0.998	3531	tags=48%, list=17%, signal=58%	
GO_PHOSPHOLIPID_TRANSPORTER_ACTIVITY	GO_PHOSPHOLIPID_TRANSPORTER_ACTIVITY		42	0.4538794	1.3764462	0.06007752	1.0	0.998	3367	tags=26%, list=17%, signal=31%	
GO_PROTEIN_PHOSPHATASE_BINDING	GO_PROTEIN_PHOSPHATASE_BINDING		114	0.38435882	1.3763535	0.03168317	1.0	0.998	3646	tags=30%, list=18%, signal=36%	
GO_PROTEIN_BINDING_INVOLVED_IN_CELL_ADHESION	GO_PROTEIN_BINDING_INVOLVED_IN_CELL_ADHESION		16	0.70375335	1.374271	0.054158606	1.0	0.998	2425	tags=50%, list=12%, signal=57%	
GO_RNA_HELICASE_ACTIVITY	GO_RNA_HELICASE_ACTIVITY		64	0.6228445	1.3736774	0.08949416	1.0	0.998	4062	tags=52%, list=20%, signal=64%	
GO_HORMONE_RECEPTOR_BINDING	GO_HORMONE_RECEPTOR_BINDING		151	0.36527923	1.3711932	0.0403071	1.0	0.998	4011	tags=28%, list=20%, signal=35%	
GO_MRNA_BINDING	GO_MRNA_BINDING		133	0.43015805	1.370971	0.09607843	0.9960786	0.998	5129	tags=43%, list=25%, signal=57%	
GO_P53_BINDING	GO_P53_BINDING		64	0.41695467	1.3707298	0.050485436	0.9723649	0.998	2771	tags=27%, list=14%, signal=31%	
GO_SIGNAL_SEQUENCE_BINDING	GO_SIGNAL_SEQUENCE_BINDING		36	0.54011506	1.3678162	0.10754717	0.96680117	0.998	3865	tags=39%, list=19%, signal=48%	
GO_PURINE_NTP_DEPENDENT_HELICASE_ACTIVITY	GO_PURINE_NTP_DEPENDENT_HELICASE_ACTIVITY		91	0.63751805	1.3658439	0.085436895	0.9552243	0.998	3727	tags=51%, list=18%, signal=62%	
GO_CHROMATIN_BINDING	GO_CHROMATIN_BINDING		402	0.347158	1.3626009	0.074074075	0.9537705	0.998	4022	tags=28%, list=20%, signal=34%	
GO_MANGANESE_ION_BINDING	GO_MANGANESE_ION_BINDING		43	0.52533877	1.3623518	0.079395086	0.9337466	0.998	3395	tags=37%, list=17%, signal=45%	
GO_NAD_ADP_RIBOSYLTRANSFERASE_ACTIVITY	GO_NAD_ADP_RIBOSYLTRANSFERASE_ACTIVITY		26	0.49741477	1.3608639	0.08984375	0.9221301	0.998	3697	tags=50%, list=18%, signal=61%	
GO_MICROTUBULE_BINDING	GO_MICROTUBULE_BINDING		188	0.49373302	1.3603196	0.052837573	0.9044828	0.998	4213	tags=37%, list=21%, signal=47%	
GO_GTPASE_BINDING	GO_GTPASE_BINDING		276	0.42673066	1.3560236	0.08946322	0.91329587	0.999	4096	tags=37%, list=20%, signal=46%	
GO_ENZYME_ACTIVATOR_ACTIVITY	GO_ENZYME_ACTIVATOR_ACTIVITY		425	0.34847882	1.3560096	0.040462427	0.89391327	0.999	4410	tags=33%, list=22%, signal=41%	
GO_RAN_GTPASE_BINDING	GO_RAN_GTPASE_BINDING		30	0.62377656	1.3559548	0.13988657	0.87558	0.999	3269	tags=53%, list=16%, signal=63%	
GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_KINASE_ACTIVITY	GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_KINASE_ACTIVITY		16	0.57361346	1.3534306	0.11614173	0.8725631	0.999	1827	tags=38%, list=9%, signal=41%	
GO_TUBULIN_BINDING	GO_TUBULIN_BINDING		254	0.4544178	1.3530605	0.058027077	0.857348	0.999	3971	tags=34%, list=20%, signal=42%	
GO_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_BINDING	GO_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_BINDING		34	0.41330126	1.3530377	0.07874016	0.8406246	0.999	4151	tags=38%, list=20%, signal=48%	
GO_INSULIN_RECEPTOR_BINDING	GO_INSULIN_RECEPTOR_BINDING		30	0.43822455	1.3487211	0.043977056	0.84775037	0.999	2421	tags=27%, list=12%, signal=30%	
GO_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY	GO_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY		149	0.45113546	1.3486133	0.051282052	0.8324596	0.999	4480	tags=45%, list=22%, signal=57%	
GO_PROTEIN_KINASE_A_BINDING	GO_PROTEIN_KINASE_A_BINDING		38	0.5203711	1.3451668	0.10485437	0.8369124	0.999	2811	tags=37%, list=14%, signal=43%	
GO_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	GO_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY		416	0.39388412	1.3449832	0.029469548	0.8227359	0.999	4516	tags=35%, list=22%, signal=44%	
GO_INTRAMOLECULAR_TRANSFERASE_ACTIVITY	GO_INTRAMOLECULAR_TRANSFERASE_ACTIVITY		23	0.6340035	1.3447199	0.07543521	0.8092355	0.999	1341	tags=39%, list=7%, signal=42%	
GO_PROTEIN_KINASE_A_REGULATORY_SUBUNIT_BINDING	GO_PROTEIN_KINASE_A_REGULATORY_SUBUNIT_BINDING		15	0.7250902	1.3425333	0.07961165	0.8076278	0.999	2811	tags=60%, list=14%, signal=70%	
GO_MRNA_3_UTR_BINDING	GO_MRNA_3_UTR_BINDING		44	0.40146175	1.341012	0.103658535	0.8023684	0.999	4818	tags=41%, list=24%, signal=53%	
GO_THYROID_HORMONE_RECEPTOR_BINDING	GO_THYROID_HORMONE_RECEPTOR_BINDING		29	0.46158335	1.3387437	0.13872832	0.8014574	1.0	4367	tags=45%, list=21%, signal=57%	
GO_1_PHOSPHATIDYLINOSITOL_BINDING	GO_1_PHOSPHATIDYLINOSITOL_BINDING		18	0.6498918	1.3386295	0.070726916	0.7887326	1.0	4001	tags=61%, list=20%, signal=76%	
GO_POLYUBIQUITIN_BINDING	GO_POLYUBIQUITIN_BINDING		38	0.51734966	1.3353394	0.11472275	0.7934742	1.0	4295	tags=50%, list=21%, signal=63%	
GO_DNA_DEPENDENT_ATPASE_ACTIVITY	GO_DNA_DEPENDENT_ATPASE_ACTIVITY		73	0.7074243	1.3312416	0.04423077	0.8015989	1.0	3546	tags=63%, list=17%, signal=76%	
GO_LIGASE_ACTIVITY_FORMING_CARBON_NITROGEN_BONDS	GO_LIGASE_ACTIVITY_FORMING_CARBON_NITROGEN_BONDS		49	0.50821173	1.3311317	0.125	0.78948003	1.0	3670	tags=41%, list=18%, signal=50%	
GO_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY	GO_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY		298	0.37703842	1.328271	0.08151093	0.790728	1.0	4410	tags=35%, list=22%, signal=43%	
GO_CIS_TRANS_ISOMERASE_ACTIVITY	GO_CIS_TRANS_ISOMERASE_ACTIVITY		37	0.42907533	1.3277354	0.054820415	0.7811077	1.0	1391	tags=19%, list=7%, signal=20%	
GO_POLY_PURINE_TRACT_BINDING	GO_POLY_PURINE_TRACT_BINDING		18	0.6204502	1.3250692	0.10291262	0.7826274	1.0	4628	tags=67%, list=23%, signal=86%	
GO_PHOSPHATIDYLINOSITOL_BINDING	GO_PHOSPHATIDYLINOSITOL_BINDING		185	0.37800187	1.3218483	0.0984556	0.7865511	1.0	4046	tags=32%, list=20%, signal=39%	
GO_TRANSCRIPTION_COACTIVATOR_ACTIVITY	GO_TRANSCRIPTION_COACTIVATOR_ACTIVITY		281	0.29231045	1.320272	0.08221798	0.7832441	1.0	4481	tags=29%, list=22%, signal=36%	
GO_RETINOIC_ACID_RECEPTOR_BINDING	GO_RETINOIC_ACID_RECEPTOR_BINDING		31	0.43732184	1.3191757	0.0952381	0.77694684	1.0	3771	tags=32%, list=19%, signal=40%	
GO_RECEPTOR_SIGNALING_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	GO_RECEPTOR_SIGNALING_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY		84	0.35693294	1.3165703	0.103792414	0.7783519	1.0	4516	tags=38%, list=22%, signal=49%	
GO_FATTY_ACID_LIGASE_ACTIVITY	GO_FATTY_ACID_LIGASE_ACTIVITY		16	0.56457573	1.3129458	0.12244898	0.7855947	1.0	1669	tags=31%, list=8%, signal=34%	
GO_ACTIN_FILAMENT_BINDING	GO_ACTIN_FILAMENT_BINDING		110	0.37970784	1.3122836	0.09072978	0.77785665	1.0	3653	tags=28%, list=18%, signal=34%	
GO_N_ACYLTRANSFERASE_ACTIVITY	GO_N_ACYLTRANSFERASE_ACTIVITY		89	0.40815693	1.3103894	0.12761904	0.77573854	1.0	4609	tags=38%, list=23%, signal=49%	
GO_TRANSCRIPTION_COFACTOR_BINDING	GO_TRANSCRIPTION_COFACTOR_BINDING		24	0.47313222	1.3075442	0.15264188	0.7786364	1.0	3878	tags=38%, list=19%, signal=46%	
GO_2_IRON_2_SULFUR_CLUSTER_BINDING	GO_2_IRON_2_SULFUR_CLUSTER_BINDING		21	0.47262487	1.3070751	0.13944954	0.77057266	1.0	1808	tags=19%, list=9%, signal=21%	
GO_RAB_GTPASE_BINDING	GO_RAB_GTPASE_BINDING		109	0.3767358	1.3068084	0.16500995	0.7616288	1.0	4429	tags=38%, list=22%, signal=48%	
GO_METALLOPEPTIDASE_ACTIVITY	GO_METALLOPEPTIDASE_ACTIVITY		174	0.41901353	1.3065189	0.026022306	0.7530382	1.0	4683	tags=34%, list=23%, signal=44%	
GO_ATP_DEPENDENT_DNA_HELICASE_ACTIVITY	GO_ATP_DEPENDENT_DNA_HELICASE_ACTIVITY		31	0.7216889	1.3058023	0.14913958	0.7467704	1.0	3181	tags=61%, list=16%, signal=73%	
GO_SYNTAXIN_BINDING	GO_SYNTAXIN_BINDING		85	0.33913767	1.3012689	0.07662835	0.7588677	1.0	3552	tags=24%, list=17%, signal=28%	
GO_HEAT_SHOCK_PROTEIN_BINDING	GO_HEAT_SHOCK_PROTEIN_BINDING		77	0.46368003	1.3008001	0.15311909	0.7513745	1.0	4121	tags=42%, list=20%, signal=52%	
GO_SNARE_BINDING	GO_SNARE_BINDING		117	0.30619302	1.298948	0.06407767	0.750662	1.0	3733	tags=23%, list=18%, signal=28%	
GO_ATPASE_ACTIVATOR_ACTIVITY	GO_ATPASE_ACTIVATOR_ACTIVITY		16	0.57637566	1.2985802	0.13899614	0.7434963	1.0	4728	tags=63%, list=23%, signal=81%	
GO_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING	GO_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING		245	0.3396862	1.2977402	0.08949416	0.7383275	1.0	4050	tags=29%, list=20%, signal=36%	
GO_HISTONE_LYSINE_N_METHYLTRANSFERASE_ACTIVITY	GO_HISTONE_LYSINE_N_METHYLTRANSFERASE_ACTIVITY		37	0.39350024	1.2974281	0.096969694	0.73082304	1.0	4327	tags=35%, list=21%, signal=45%	
GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PENTOSYL_GROUPS	GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PENTOSYL_GROUPS		51	0.44177032	1.2973748	0.1121673	0.7225503	1.0	3697	tags=41%, list=18%, signal=50%	
GO_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON	GO_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON		96	0.35324585	1.2967571	0.13243762	0.71704185	1.0	4440	tags=25%, list=22%, signal=32%	
GO_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_BINDING	GO_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_BINDING		30	0.6223162	1.2966833	0.16190477	0.7089878	1.0	3099	tags=43%, list=15%, signal=51%	
GO_BASAL_TRANSCRIPTION_MACHINERY_BINDING	GO_BASAL_TRANSCRIPTION_MACHINERY_BINDING		23	0.60679764	1.2966063	0.20582524	0.701293	1.0	4761	tags=61%, list=23%, signal=79%	
GO_CYTOSKELETAL_ADAPTOR_ACTIVITY	GO_CYTOSKELETAL_ADAPTOR_ACTIVITY		16	0.4542218	1.2964635	0.13424124	0.6940438	1.0	3257	tags=38%, list=16%, signal=45%	
GO_PHOSPHOLIPID_BINDING	GO_PHOSPHOLIPID_BINDING		329	0.3266394	1.2955673	0.04901961	0.68985224	1.0	4046	tags=27%, list=20%, signal=34%	
GO_ATPASE_REGULATOR_ACTIVITY	GO_ATPASE_REGULATOR_ACTIVITY		29	0.51896304	1.2944939	0.15163147	0.68656486	1.0	4728	tags=48%, list=23%, signal=63%	
GO_TELOMERIC_DNA_BINDING	GO_TELOMERIC_DNA_BINDING		28	0.55874664	1.2940968	0.19011407	0.6805415	1.0	4645	tags=50%, list=23%, signal=65%	
GO_SINGLE_STRANDED_RNA_BINDING	GO_SINGLE_STRANDED_RNA_BINDING		60	0.41869298	1.2933518	0.16153847	0.67621833	1.0	4628	tags=42%, list=23%, signal=54%	
GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY	GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY		29	0.4788155	1.2894434	0.16260162	0.68511474	1.0	4186	tags=45%, list=21%, signal=56%	
GO_N_METHYLTRANSFERASE_ACTIVITY	GO_N_METHYLTRANSFERASE_ACTIVITY		73	0.35254267	1.2863963	0.15296367	0.6895762	1.0	4047	tags=30%, list=20%, signal=37%	
GO_DOUBLE_STRANDED_RNA_BINDING	GO_DOUBLE_STRANDED_RNA_BINDING		56	0.5648273	1.2856699	0.21292776	0.6855471	1.0	3669	tags=45%, list=18%, signal=54%	
GO_RHO_GTPASE_BINDING	GO_RHO_GTPASE_BINDING		75	0.40843368	1.2854338	0.11821705	0.67968184	1.0	4159	tags=36%, list=20%, signal=45%	
GO_PEPTIDE_N_ACETYLTRANSFERASE_ACTIVITY	GO_PEPTIDE_N_ACETYLTRANSFERASE_ACTIVITY		56	0.4308811	1.2842804	0.1849711	0.6774	1.0	4609	tags=41%, list=23%, signal=53%	
GO_STEROL_TRANSPORTER_ACTIVITY	GO_STEROL_TRANSPORTER_ACTIVITY		16	0.44137725	1.2837472	0.19560878	0.67241865	1.0	4102	tags=25%, list=20%, signal=31%	
GO_PROTEIN_N_TERMINUS_BINDING	GO_PROTEIN_N_TERMINUS_BINDING		96	0.33852997	1.2829612	0.15717092	0.6689952	1.0	4212	tags=34%, list=21%, signal=43%	
GO_VITAMIN_D_RECEPTOR_BINDING	GO_VITAMIN_D_RECEPTOR_BINDING		17	0.4530542	1.2827085	0.20537429	0.6635195	1.0	4367	tags=47%, list=21%, signal=60%	
GO_ACETYLTRANSFERASE_ACTIVITY	GO_ACETYLTRANSFERASE_ACTIVITY		91	0.40168402	1.280459	0.19223301	0.6655956	1.0	4609	tags=37%, list=23%, signal=48%	
GO_DNA_HELICASE_ACTIVITY	GO_DNA_HELICASE_ACTIVITY		48	0.70749253	1.2798477	0.18336484	0.66115373	1.0	3660	tags=65%, list=18%, signal=79%	
GO_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_BINDING	GO_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_BINDING		46	0.36044082	1.2794863	0.07794677	0.6561029	1.0	1959	tags=20%, list=10%, signal=22%	
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY	GO_HISTONE_METHYLTRANSFERASE_ACTIVITY		50	0.36624017	1.2773026	0.12929294	0.65826803	1.0	4327	tags=32%, list=21%, signal=41%	
GO_SYNTAXIN_1_BINDING	GO_SYNTAXIN_1_BINDING		17	0.52568877	1.275889	0.15226337	0.6571655	1.0	2378	tags=35%, list=12%, signal=40%	
GO_UNFOLDED_PROTEIN_BINDING	GO_UNFOLDED_PROTEIN_BINDING		92	0.5067136	1.2754769	0.21414913	0.65248364	1.0	4048	tags=43%, list=20%, signal=54%	
GO_NON_MEMBRANE_SPANNING_PROTEIN_TYROSINE_KINASE_ACTIVITY	GO_NON_MEMBRANE_SPANNING_PROTEIN_TYROSINE_KINASE_ACTIVITY		44	0.49046808	1.2754141	0.1223301	0.6466435	1.0	3248	tags=39%, list=16%, signal=46%	
GO_PHOSPHOPROTEIN_BINDING	GO_PHOSPHOPROTEIN_BINDING		59	0.3598965	1.2752228	0.0945946	0.64125174	1.0	5193	tags=42%, list=26%, signal=57%	
GO_LIGAND_DEPENDENT_NUCLEAR_RECEPTOR_BINDING	GO_LIGAND_DEPENDENT_NUCLEAR_RECEPTOR_BINDING		23	0.4222183	1.272381	0.18480493	0.6458912	1.0	3439	tags=43%, list=17%, signal=52%	
GO_PROTEIN_C_TERMINUS_BINDING	GO_PROTEIN_C_TERMINUS_BINDING		178	0.33369383	1.2723718	0.13549618	0.6400937	1.0	4298	tags=33%, list=21%, signal=42%	
GO_RNA_POLYMERASE_II_TRANSCRIPTION_COFACTOR_ACTIVITY	GO_RNA_POLYMERASE_II_TRANSCRIPTION_COFACTOR_ACTIVITY		87	0.30617532	1.2711873	0.14417745	0.63892096	1.0	4710	tags=33%, list=23%, signal=43%	
GO_RNA_POLYMERASE_II_REPRESSING_TRANSCRIPTION_FACTOR_BINDING	GO_RNA_POLYMERASE_II_REPRESSING_TRANSCRIPTION_FACTOR_BINDING		27	0.4510565	1.270195	0.1812749	0.63675904	1.0	3654	tags=37%, list=18%, signal=45%	
GO_PROTEIN_DISULFIDE_OXIDOREDUCTASE_ACTIVITY	GO_PROTEIN_DISULFIDE_OXIDOREDUCTASE_ACTIVITY		20	0.4619864	1.269601	0.16007534	0.63316107	1.0	628	tags=15%, list=3%, signal=15%	
GO_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_BINDING	GO_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_BINDING		127	0.29590505	1.267781	0.13167939	0.6344127	1.0	4367	tags=30%, list=21%, signal=38%	
GO_DEATH_RECEPTOR_BINDING	GO_DEATH_RECEPTOR_BINDING		16	0.44452643	1.2677085	0.14176245	0.62920266	1.0	3384	tags=31%, list=17%, signal=37%	
GO_PROTEIN_PHOSPHATASE_2A_BINDING	GO_PROTEIN_PHOSPHATASE_2A_BINDING		27	0.4374029	1.2667778	0.19038461	0.6271561	1.0	3436	tags=33%, list=17%, signal=40%	
GO_RNA_POLYMERASE_II_CORE_BINDING	GO_RNA_POLYMERASE_II_CORE_BINDING		15	0.63594556	1.2667172	0.22509961	0.62203985	1.0	4761	tags=60%, list=23%, signal=78%	
GO_NUCLEAR_LOCALIZATION_SEQUENCE_BINDING	GO_NUCLEAR_LOCALIZATION_SEQUENCE_BINDING		20	0.66513044	1.2637821	0.21359223	0.62684476	1.0	2500	tags=45%, list=12%, signal=51%	
GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ACYL_GROUPS_OTHER_THAN_AMINO_ACYL_GROUPS	GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ACYL_GROUPS_OTHER_THAN_AMINO_ACYL_GROUPS		187	0.34534463	1.2624061	0.1695238	0.62647	1.0	4615	tags=33%, list=23%, signal=42%	
GO_PHOSPHATIDYLINOSITOL_3_4_5_TRISPHOSPHATE_BINDING	GO_PHOSPHATIDYLINOSITOL_3_4_5_TRISPHOSPHATE_BINDING		32	0.4606676	1.2599812	0.19560878	0.6289773	1.0	4989	tags=47%, list=25%, signal=62%	
GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING	GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING		109	0.3475599	1.2580047	0.15913557	0.63034457	1.0	5389	tags=39%, list=26%, signal=53%	
GO_BITTER_TASTE_RECEPTOR_ACTIVITY	GO_BITTER_TASTE_RECEPTOR_ACTIVITY		24	0.6097095	1.2571825	0.23446894	0.6278321	1.0	6380	tags=71%, list=31%, signal=103%	
GO_NUCLEOSOMAL_DNA_BINDING	GO_NUCLEOSOMAL_DNA_BINDING		25	0.45598915	1.2561723	0.27083334	0.6259497	1.0	5503	tags=40%, list=27%, signal=55%	
GO_N_ACETYLTRANSFERASE_ACTIVITY	GO_N_ACETYLTRANSFERASE_ACTIVITY		75	0.40118027	1.2540188	0.21621622	0.6287716	1.0	4948	tags=40%, list=24%, signal=53%	
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS		24	0.54141486	1.2528272	0.21011673	0.6279084	1.0	1824	tags=25%, list=9%, signal=27%	
GO_ATP_DEPENDENT_MICROTUBULE_MOTOR_ACTIVITY	GO_ATP_DEPENDENT_MICROTUBULE_MOTOR_ACTIVITY		16	0.74651676	1.2523282	0.14340344	0.6245537	1.0	1260	tags=44%, list=6%, signal=47%	
